timestamp,kind,status,latency_seconds,request_id,idempotency_key,attempt_ordinal,attempt_limit,requested_revision,http_status,problem_type,problem_detail,command_id,environment_id,candidate_sha
2026-08-14T00:00:00Z,read,ok,0.01,,,,,,200,,,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:00Z,enqueue,error,0.02,idem-http-001.attempt-1,idem-http-001,1,3,10,409,https://ocservia.dev/problems/stale-revision,the node changed after this operation was prepared,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:00.030000Z,enqueue,ok,0.05,idem-http-001.attempt-2,idem-http-001,2,3,11,202,,,cmd-001,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:00Z,read,ok,0.011,,,,,,200,,,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:00Z,enqueue,ok,0.06,idem-http-002.attempt-1,idem-http-002,1,3,11,202,,,cmd-002,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:01Z,read,ok,0.012,,,,,,200,,,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:01Z,enqueue,ok,0.07,idem-http-003.attempt-1,idem-http-003,1,3,12,202,,,cmd-003,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:01Z,read,ok,0.013,,,,,,200,,,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:01Z,enqueue,ok,0.08,idem-http-004.attempt-1,idem-http-004,1,3,13,202,,,cmd-004,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:02Z,read,ok,0.014,,,,,,200,,,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:02Z,enqueue,ok,0.09,idem-http-005.attempt-1,idem-http-005,1,3,14,202,,,cmd-005,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:02Z,read,ok,0.015,,,,,,200,,,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:02Z,enqueue,ok,0.1,idem-http-006.attempt-1,idem-http-006,1,3,15,202,,,cmd-006,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:03Z,read,ok,0.016,,,,,,200,,,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:03Z,enqueue,ok,0.11,idem-http-007.attempt-1,idem-http-007,1,3,16,202,,,cmd-007,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:03Z,read,ok,0.01,,,,,,200,,,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:03Z,enqueue,ok,0.12,idem-http-008.attempt-1,idem-http-008,1,3,17,202,,,cmd-008,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:04Z,read,ok,0.011,,,,,,200,,,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:04Z,enqueue,ok,0.13,idem-http-009.attempt-1,idem-http-009,1,3,18,202,,,cmd-009,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:04Z,read,ok,0.012,,,,,,200,,,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:04Z,enqueue,ok,0.14,idem-http-010.attempt-1,idem-http-010,1,3,19,202,,,cmd-010,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:05Z,read,ok,0.013,,,,,,200,,,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:05Z,enqueue,ok,0.05,idem-http-011.attempt-1,idem-http-011,1,3,20,202,,,cmd-011,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:05Z,read,ok,0.014,,,,,,200,,,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:05Z,enqueue,ok,0.06,idem-http-012.attempt-1,idem-http-012,1,3,21,202,,,cmd-012,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:06Z,read,ok,0.015,,,,,,200,,,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:06Z,enqueue,ok,0.07,idem-http-013.attempt-1,idem-http-013,1,3,22,202,,,cmd-013,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:06Z,read,ok,0.016,,,,,,200,,,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:06Z,enqueue,ok,0.08,idem-http-014.attempt-1,idem-http-014,1,3,23,202,,,cmd-014,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:07Z,read,ok,0.01,,,,,,200,,,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:07Z,enqueue,ok,0.09,idem-http-015.attempt-1,idem-http-015,1,3,24,202,,,cmd-015,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:07Z,read,ok,0.011,,,,,,200,,,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:07Z,enqueue,ok,0.1,idem-http-016.attempt-1,idem-http-016,1,3,25,202,,,cmd-016,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:08Z,read,ok,0.012,,,,,,200,,,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:08Z,enqueue,ok,0.11,idem-http-017.attempt-1,idem-http-017,1,3,26,202,,,cmd-017,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:08Z,read,ok,0.013,,,,,,200,,,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:08Z,enqueue,ok,0.12,idem-http-018.attempt-1,idem-http-018,1,3,27,202,,,cmd-018,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:09Z,read,ok,0.014,,,,,,200,,,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:09Z,enqueue,ok,0.13,idem-http-019.attempt-1,idem-http-019,1,3,28,202,,,cmd-019,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:09Z,read,ok,0.015,,,,,,200,,,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:09Z,enqueue,ok,0.14,idem-http-020.attempt-1,idem-http-020,1,3,29,202,,,cmd-020,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:10Z,read,ok,0.016,,,,,,200,,,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:10Z,enqueue,ok,0.05,idem-http-021.attempt-1,idem-http-021,1,3,30,202,,,cmd-021,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:10Z,read,ok,0.01,,,,,,200,,,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:10Z,enqueue,ok,0.06,idem-http-022.attempt-1,idem-http-022,1,3,31,202,,,cmd-022,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:11Z,read,ok,0.011,,,,,,200,,,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:11Z,enqueue,ok,0.07,idem-http-023.attempt-1,idem-http-023,1,3,32,202,,,cmd-023,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:11Z,read,ok,0.012,,,,,,200,,,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:11Z,enqueue,ok,0.08,idem-http-024.attempt-1,idem-http-024,1,3,33,202,,,cmd-024,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:12Z,read,ok,0.013,,,,,,200,,,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:12Z,enqueue,ok,0.09,idem-http-025.attempt-1,idem-http-025,1,3,34,202,,,cmd-025,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:12Z,read,ok,0.014,,,,,,200,,,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:12Z,enqueue,ok,0.1,idem-http-026.attempt-1,idem-http-026,1,3,35,202,,,cmd-026,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:13Z,read,ok,0.015,,,,,,200,,,,g6-12345678,1111111111111111111111111111111111111111
