timestamp,component,instance,rss_bytes,fd_count,tasks,queue_depth,db_connections,environment_id,candidate_sha
2026-08-14T00:00:00Z,controller,api-1,104857600,48,120,0,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:00Z,transportd,node-1,104857600,40,200,0,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:00Z,agent,node-agent-03,52428800,24,60,0,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:00Z,postgres,pg-primary,209715200,80,40,0,40,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:05Z,controller,api-1,104858624,48,120,0,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:05Z,transportd,node-1,104859648,40,200,0,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:05Z,agent,node-agent-03,52429312,24,60,0,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:05Z,postgres,pg-primary,209719296,80,40,0,40,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:10Z,controller,api-1,104859648,48,120,0,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:10Z,transportd,node-1,104861696,40,200,0,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:10Z,agent,node-agent-03,52429824,24,60,0,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:10Z,postgres,pg-primary,209723392,80,40,0,40,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:15Z,controller,api-1,104860672,48,120,0,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:15Z,transportd,node-1,104863744,40,200,0,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:15Z,agent,node-agent-03,52430336,24,60,0,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:15Z,postgres,pg-primary,209727488,80,40,0,40,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:20Z,controller,api-1,104861696,48,120,0,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:20Z,transportd,node-1,104865792,40,200,0,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:20Z,agent,node-agent-03,52430848,24,60,0,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:20Z,postgres,pg-primary,209731584,80,40,0,40,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:25Z,controller,api-1,104862720,48,121,0,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:25Z,transportd,node-1,104867840,40,200,0,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:25Z,agent,node-agent-03,52431360,24,60,0,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:25Z,postgres,pg-primary,209735680,80,40,0,40,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:30Z,controller,api-1,104863744,48,121,0,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:30Z,transportd,node-1,104869888,40,200,0,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:30Z,agent,node-agent-03,52431872,24,60,0,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:30Z,postgres,pg-primary,209739776,80,40,0,40,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:35Z,controller,api-1,104864768,48,121,0,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:35Z,transportd,node-1,104871936,40,200,0,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:35Z,agent,node-agent-03,52432384,24,60,0,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:35Z,postgres,pg-primary,209743872,80,40,0,40,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:40Z,controller,api-1,104865792,48,121,0,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:40Z,transportd,node-1,104873984,40,201,0,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:40Z,agent,node-agent-03,52432896,24,60,0,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:40Z,postgres,pg-primary,209747968,80,40,0,40,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:45Z,controller,api-1,104866816,48,121,0,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:45Z,transportd,node-1,104876032,40,201,0,,g6-12345678,1111111111111111111111111111111111111111
2026-08-14T00:00:45Z,agent,node-agent-03,52433408,24,60,0,,g6-12345678,1111111111111111111111111111111111111111
